antibiotic,model_status,unsupported_reason,n_train,n_calibration,n_test,n_features,test_resistant_count,test_susceptible_count,test_resistant_prevalence,susceptible_threshold,resistant_threshold,threshold_requirement_met,threshold_failure_reason,full_evaluation_possible,evaluation_warning,deployment_candidate,tn,fp,fn,tp,balanced_accuracy,resistant_recall,susceptible_recall,resistant_precision,f1_resistant,auroc,pr_auc,brier_score,likely_to_work_count,likely_to_fail_count,no_call_count,coverage,no_call_rate,called_accuracy,called_balanced_accuracy,resistant_call_recall,susceptible_call_recall,precision_likely_to_fail,precision_likely_to_work,n_called,n_called_true_resistant,n_called_true_susceptible,balanced_accuracy_ci_lower,balanced_accuracy_ci_upper,resistant_recall_ci_lower,resistant_recall_ci_upper,susceptible_recall_ci_lower,susceptible_recall_ci_upper,f1_resistant_ci_lower,f1_resistant_ci_upper,auroc_ci_lower,auroc_ci_upper,pr_auc_ci_lower,pr_auc_ci_upper,brier_score_ci_lower,brier_score_ci_upper,coverage_ci_lower,coverage_ci_upper,called_accuracy_ci_lower,called_accuracy_ci_upper,bootstrap_method,bootstrap_iterations,model_tier
cephalothin,calibrated,,15,12,13,33.0,9.0,4.0,0.6923076923076923,0.35,0.55,True,,True,,False,2.0,2.0,1.0,8.0,0.6944444444444444,0.8888888888888888,0.5,0.8,0.8421052631578947,0.8611111111111112,0.9320987654320988,0.1347421048093336,3.0,9.0,1.0,0.9230769230769232,0.0769230769230769,0.8333333333333334,0.7777777777777777,0.8888888888888888,0.5,0.8888888888888888,0.6666666666666666,12.0,9.0,3.0,0.3925,1.0,0.625,1.0,0.0,1.0,0.6271381578947368,1.0,0.6,1.0,0.7811343864468864,1.0,0.0289695951207869,0.2671212064676988,0.7692307692307693,1.0,0.5833333333333334,1.0,group-level,500.0,demo_candidate
ciprofloxacin,calibrated,,624,272,258,110.0,50.0,208.0,0.1937984496124031,0.15,0.55,True,,True,,False,200.0,8.0,22.0,28.0,0.7607692307692309,0.56,0.9615384615384616,0.7777777777777778,0.6511627906976745,0.823173076923077,0.7118135982619235,0.1032288752906298,44.0,31.0,183.0,0.2906976744186046,0.7093023255813954,0.9066666666666666,0.9110942249240122,0.52,0.2019230769230769,0.8387096774193549,0.9545454545454546,75.0,28.0,47.0,0.6885033115438043,0.8309153891789424,0.4141925988225399,0.6900862068965518,0.9346000704721636,0.9856818181818182,0.5187938288920056,0.7663551401869159,0.7358435526677038,0.8963483227041509,0.5778747506309954,0.8170358365487165,0.0827958792100437,0.125349716756963,0.2334630350194552,0.3474903474903475,0.8353125,0.9634315037929496,group-level,500.0,demo_candidate
nalidixic acid,calibrated,,86,23,26,36.0,5.0,21.0,0.1923076923076923,0.3,0.55,False,called accuracy below target,True,,False,20.0,1.0,3.0,2.0,0.6761904761904762,0.4,0.9523809523809524,0.6666666666666666,0.5,0.6904761904761905,0.5232323232323233,0.1359647589358743,20.0,2.0,4.0,0.8461538461538461,0.1538461538461538,0.8636363636363636,0.6403508771929824,0.2,0.8571428571428571,0.5,0.9,22.0,3.0,19.0,0.4741071428571428,0.9592083333333332,0.0,1.0,0.8421052631578947,1.0,0.0,0.8665178571428567,0.339406941266209,0.9855072463768116,0.1242099567099567,0.9334350036310816,0.0777738015174808,0.2119110115464653,0.6923076923076923,0.9615384615384616,0.7,1.0,group-level,500.0,demo_candidate
trimethoprim/sulfamethoxazole,calibrated,,273,87,95,85.0,27.0,68.0,0.2842105263157894,0.25,0.55,False,called accuracy below target; coverage below minimum,True,,False,64.0,4.0,14.0,13.0,0.7113289760348583,0.4814814814814814,0.9411764705882352,0.7647058823529411,0.5909090909090909,0.7764161220043574,0.7066366623691738,0.1674470194165164,14.0,15.0,66.0,0.3052631578947368,0.6947368421052632,0.8275862068965517,0.8293269230769231,0.4814814814814814,0.1617647058823529,0.8666666666666667,0.7857142857142857,29.0,16.0,13.0,0.6119677151318009,0.8148265006666017,0.3005656108597285,0.6900240384615384,0.8873239436619719,0.9858199195171028,0.3895325203252032,0.75,0.6429464285714286,0.8993865055272352,0.5230890083368203,0.8447559357983941,0.1403480057176173,0.1980711231217964,0.2144325657894737,0.4010824742268041,0.6867967332123412,0.9555830039525692,group-level,500.0,demo_candidate
